Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Kermesse héroïque (La)		FEYDER Jacques	NB	1935 / F	 / Films sonores Tobis	com.	André Alerme, Jean Murat, Bernard Lancret, Louis Jouvet, Alfred Adam, Pierre Labry, le nain Delphin, Marcel Carpentier, Arthur Devère, Alexandre Darcy, Claude Saint-Val, Roger Legris, Bernard Optal, Raphaël Medina, Enrico Glory, Georges Spanelly, Rolla Norman, Enrico Glori, Pierre Athon, 	Françoise Rosay, Micheline Cheirel, Lyne Clevers, Ginette Gaubert, Maryse Wendling, Marguerite Ducouret, Francine Wells, Yvonne Yma, Molly Robert, 	TB.	Charles Spaak + J. Feyder + Bernard Zimmer	nouv. de Ch. Spaak	Harry Stradling + Louis Page + André Thomas	Louis BeydtsDécorateurs : Lazare Meerson + Alexandre Trauner (assistant)	
Gens du voyage (Les)		FEYDER Jacques	NB	1937 / F	 / Films sonores Tobis	com. dr.	André Brulé, Guillaume de Sax, Fabien Loris, André Roanne, Aimos, Sinoël, René Génin, André Siméon, Daniel Mendaille, Georges Prieur, Gustave Hamilton, André Nicolle, Lucien Brulé, Pierre Labry, Yves Deniaud, Lacroix, Charles Barrois, Lucien Walter, Alfred Adam, Robert Ozanne, Pierre Athon, Horace Davault, René Stern, Edmond Beauchamp, Marcel Duhamel, 	Françoise Rosay, Marie Glory, Sylvia Bataille, Louise Carletti, Yvonne Gall, Andrée Canti, Marie-Louise Hérouett, Micheline Francey, Madeleine Sologne, Victoria Carletti, Made Siamé, 	TB.	"Jacques Viot + J. Feyder. Dial. : Bernard Zimmer"		Franz Koch + Joseph Illig	Wolfgang Zeller	
Loi du nord (La) ou La piste du Nord		FEYDER Jacques	NB	1939 / F	 / Filmos	av.	Pierre-Richard Wilm, Jacques Terrane, Charles Vanel, Jean Brochard, Henri Guisol, Fabien Loris, Youcca Troubetzkoï, Max Michel, Jean Bradin, Jea	Michelle Morgan, Arlette Marchal,	Bon.	Alexandre Arnoux (+ dial.) + J. Feyder	"rom. ""Telle qu'elle était de son vivant"" de Maurice Constantin-Weyer"	Roger Hubert	Louis Beydts	
Crazy, stupid, Love		FICARRA Glenn + REQUA John	Coul. / Panavision / 118m	2011 / USA	" / Carousel Prod. (Steve Carell + Denise Di Novi)
		"	com. dr.	Steve Carell, Ryan Gosling, Jonah Bobo, Joey King, Marisa Tomei, Beth Littleford, John Carroll Lynch, Kevin Bacon, Josh Groban, Zayne Emory, Reggie Lee, Charlie Hartsock, 	Julianne Moore, Emma Stone, Analeigh Tipton,Marisa Tomei, Liza Lapira, Mekia Cox, Julianna Guill, Crystal Reed, Joanne Brooks, Caitlin Thompson, Karolina Wydra, Tracy Mulholland, Katerina Mikailenko, Janine Barris, Jenny Mollen, 	Bon+. Une comédie dramatique assez morne sur le couple et l’adultère, qui s’essaye à renouveler le genre en greffant arbitrairement Gosling dans le rôle du conseiller “reclassement”, pour nous servir une surprise qui n’en est pas une. Tout ça est mou et lassant, la plupârt des rôles féminins étant réduit à des images schématiques. On ne rit pas, on n’est pas ému... peut servir à passer 2 h dans un long trajet d’avion.	Dan Fogelman		Andrew Dunn	Christophe Beck + Nick Urata	
Whiskey Tango Foxtrot		FICARRA Glenn + REQUA John	Coul. / Panavision / 112mn	2016 / USA	"PAR - Broadway Video - Little Stranger (Tina Fey + Lorne Michaels)
"	dr. gu.	"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina, Christopher Abbott, Billy Bob Thornton, Nicholas Braun, Stephen Peacocke, 	Sheila Vand, Evan Jonigkeit, Fahim Anwar, Josh Charles, Cherry Jones, Scott Takeda, Eli Goodman, Soledad O'Brien, Thomas Kretschmann, Demosthenes Chrysan, Hakim Zamir, Jon Kristian Moore, David Stanford Vic Browder, Howard Ferguson Jr., Matthew Page, Sterling K. Brown			

"		B. Une journaliste américaine part comme envoyée spéciale en Afghanistan pour “changer d’air” et remettre sa carrière sur les rails... Le démarrage fait un peu penser à M.A.S.H. en moins fou, mais saisit bien la vie décalée qui se mène dans un pays de ce genre, surtout en tant que femme. Puis le récit tourne doucement vers quelque chose de plus réflexif, qui saisit bien, entre autres, les ambitions et les problèmes d’ego d’un journaliste de chaîne d’info. Les personnages sont bien cernés et la réalisation est bien menée.	Robert Carlock	" le livre ""The Taliban Shuffle: Strange Days in Afghanistan and Pakistan"" de Kim Barker"	Xavier Grobet	"Nick Urata		"	
She's out of my league	trop belle !	FIELD SMITH Jim	Coul. / Panavision / 104mn	2010 / USA	 / Dreamworks - Mosaic Media Group (Eric Gold + David B. Householter + Jimmy Miller)	com.	Jay Baruchel, T. J. Miller, Mike Vogel, Nate Torrence, Kyle Bornheimer, Adam LeFevre, Geoff Stults, Hayes MacArthur, 	Alice Eve, Lindsay Sloane, Jessica St. Clair, Krysten Ritter, Debra Jo Rupp, Kim Shaw, Jasika Nicole, 	Bon+. Un mélange moyennement intéressant de vulgarité américaine actuelle et de quelques bons angles psychologiques bien dialogués. La réalisation n'a pas de finesse, et les comédiens peu charismatiques (Baruchel et ses satellites surtout).	Sean Anders + John Morris		Jim Denault	Michael Andrews	
In the Bedroom	In the Bedroom	FIELD Todd	Coul. / Panavision / 130mn	2001 / USA	 / Good Machine - Standard Film Comp. - GreeneStreet Films (Todd Field + Ross Katz + Graham Leader)	dr.	Tom Wilkinson, Nick Stahl, William Mapother, William Wise, Frank T. Wells, W. Clapham Murray, Justin Ashforth, Terry A. Burgess, Jonathan Walsh, Camden Munson, Christopher Adams, Henry Field, Bill Dawkins, Kevin Chapman	Sissy Spacek, Marisa Tomei, Celia Weston, Karen Allen, Diane E. Hamlin, Deborah Derecktor, Harriet Dawkins, 	B. Un beau drame, peut-être un peu trop étiré en longueur, mais qui sait jouer de la litote. S. Spacek est magnifique comme toujours, et le fait qu’elle dirige un choeur de polyphonies féminines bulgares fait un contrepoint intéressant au drame, qui est réalisé d’une manière sobre mais intense. 	Rob Festinger + Todd Field	"hist. ""Killings"" d’Andre Dubus"	Antonio Calvache	Thomas Newman	
ALIEN 3		FINCHER David	Coul.	1992 / USA			Charles S. DUTTON,	Sigourney WEAVER,						
Seven	Seven	FINCHER David	Coul. / Panavision	1995 / USA	 / New Line Cinema (Arnold Kopelson + Phyllis Carlyle)	pol.	Brad Pitt, Morgan Freeman, Kevin Spacey, Richard Roundtree, R. Lee Emery, John C. McGinley, Mark Boone Jr., John Cassini, Reginald E. Cathey, Peter Crombie, Hawthorne James, Michael Massee, Leland Orser, Richard Partnow, Richard Schiff, 	Gwyneth Pallrow, Julie Araskog, Pamola Tyson, 	"Bon. Au plan formel, l'esthétique et les prétentions sont affichés dès le générique. Au plan du récit et du thème, comme tout est montré avec complaisance, c'est au moins aussi désespérant, ambigüe et dégeulasse que le ""Silence des agneaux""."	Andrew Kevin Walker		Darius Khondji	Howard Shore	
Game (The)	Game (The)	FINCHER David	Coul. / Panavision / 123mn	1997 / USA	 / (Steve Golin + Cean Chaffin)	dr. pol.	Michael Douglas, Sean Penn, James Rebhorn, Peter Donat, Armin Mueller-Stahl, Charles Martinet, Scott Hunter McGuire, Daniel Schorr, John Aprea, Harrison Young, Joe Frank, James Brooks, Gerry Becker, Jarion Monroe, Tommy Flanagan, Bill Flannery, John Cassini, Harris Savides, Aaron Thomas Luchich, Victor Talmadge, Marc Siegler, André Brazeau, Keena Turner, Carlos Hoy, Edward Campbell, Sean Lanthier, Curtis Vanterpool, Jay Gordon, Jeffrey Michael Young, Owen Masterson, 	Deborah Kara Unger, Carroll Baker, Anna Katarina, Florentine Mocanu, Elizabeth Dennehy, Caroline Barclay, Kimberly Russell, Katherine Jean Harris, 	Bon. Tout l'aspect kafkaïen, puissant, est escamoté par la grossièreté de la réalisaton, qui accumule lourdeur sur emphase, au cadre, à l'éclairage comme à la musique. Le scenario ne manque pas lui-même de grossières invraisemblances qui brisent finalement le cauchemar. On imagine ce qu'aurait pu donner un sujet de ce genre adouci par les contraintes de la convention hollywoodienne classique mais dynamisé par la réalisation d'un Hitchckock, Lang, Preminger, ou d'un N. Ray.	John Brancato + Michael Ferris		Harris Savides	Howard Shore	
Panic room	Panic room	FINCHER David	Coul. / Panavision	2001 / USA	 / COL (Judy Hofflund + David Koepp + Gavin Polone)	dr.	Forest Whitaker, Dwight Yoakam, Jared Leto, Patrick Bauchau, Ian Buchanan, Andrew Kevin Walker, Paul Schulze, Mel Rodriguez, Richard Conant, Paul Simon, Victor Trash, Ken Turner, 	Jodie Foster, Kristen Stewart, Ann Magnuson, 	"Bon+. Vu la seconde partie. Quel véritable intérêt ? Un suspense pesant, une ambiance complaisamment glauque (réalisme? et alors?), une violence lourde et fatigante, avec une bonne utilisation de la topographie par la mise en scène. Foster et Whitaker sont excellents. Le tout évoque un peu le ""Die hard"" ( ""Piège de cristal"" de McTiernan) inversé. Et après? "	David Koepp		Conrad Hall + Darius Khondji	Howard Shore	
Social network (The)		FINCHER David	Coul. / Panavision / 120mn	2010 / USA	" / COL / Relativity Media, Scott Rudin Prod. (JDana Brunetti + Ceán Chaffin + Scott Rudin + Rupert Smythe + 
Kevin Spacey)"	com. dr.	Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Josh Pence, Max Minghella, John Getz, David Selby, Douglas Urbanski	Rooney Mara, Brenda Song, Rashida Jones, Malese Jow, Denise Grayson, 	B-. Intelligente construction pour la peinture d’un personnage peut-être inventif mais dépeint ici comme un brillant et antipathique manipulateur, remarquablement campé par Eisenberg. C’est probablement le mieux construit et le moins manipulateur des films de Fincher, avec une très belle photo	Aaron Sorkin	livre de Ben Mezrich	Jeff Cronenweth	Trent Reznor + Atticus Ross	
Airplane II : the sequel	Y a-t-il (enfin) un pilote dans l'avion?	FINKLEMAN Ken	Coul.	1982 / USA	 / PAR (Howard W. Koch)	com.	Robert Hays, Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn, John Dehner, Chad Everett, Peter Graves, William Shatner, John Vernon, Richard Jaeckel, 	Julie Hagerty	Bon.	K. Finkleman		Joseph Biroc	Elmer Bernstein	
Adios Gringo	Adios Gringo	FINLAY George ( = STEGANI Giorgio)	Coul.	1966 / I	 / (Bruno Turchetto)	western	Montgomery Wood (=Guiliano Gemma), Peter Cross (= Pierre Cressoy), Grant Laramy (= Germano Longo), Max Dean (=Massimo Righi), Jean Martin, Frank Pascal, Claude Servyll, 	Evelyn Stewart, Monique Saint-Claire, 	Bon-.	George Finlay (= Giorgio Stegani) + Michele Villerot + Jose Luis Jerez Aloza	"rom. ""Goodbye"" de Harry Whitington"	Francisco Sampere	Benedetto Ghiglia	
Charlie Bubbles	Charlie Bubbles	FINNEY Albert	Coul.	1968 / UK	 / U + A. Finney	com. dr.	Albert Finney, Colin Blakeley, Timothy Garland, Alan Lake, Joe Joyce, Nicholas Phipps, Alan Lake, Peter Sallis, 	Billie Whitelaw, Liza Minelli, Diana Coupland, Yootha Joyce, Margery Mason, 	TB.	Shelag Delaney		Peter Suschitsky	Mischa Donat	
Opposite Sex (The)		FINNIGAN Jennifer + SILVERMAN Jonathan	Coul. / Panavision / 97mn	2014 / USA	 / Verdi Prod. - Magna Ent. (Jennifer Finnigan + Gino Pereira + Claire Severance + Jonathan Silverman + Chad A. Verdi)	com.	Geoff Stults, Josh Hopkins, Eric Roberts, Kenan Thompson, Josh Cooke, Joey Fatone, Tom DeNucci, Jonathan Silverman, Dana Ashbrook, 	Mena Suvari, Jennifer Finnigan, Debra Jo Rupp, Kristin Chenoweth, Madeline Merritt, Danielle Guldin	BonBon+. Rien de neuf sous le soleil (terni) de la comédie romantique américaine ! Toujours de la vulgarité inutile (une femme explique plusieurs fois à son ami comment elle lui accommodera ses couilles s’il la trompe ! un poème à chaque fois !), des comédiens qui font des manières plutôt que de jouer la comédie (G. Stults cabotine, les femmes papillonnent vainement), du dialogue faussement sophistiqué, la perpétuelle bande de copains ou de copines qui commentent et sont censés amuser... rien à en tirer. Seul Josh Hopkins montre qu’il est un vrai acteur, et Debra Jo Rupp qui sort un numéro de secrétaire en chaleur savoureux. Il était inutile de se mettre à deux pour diriger une telle chose ordinaire !	Steven Sessions + Mark Mussina		Jendra Jarnagin		
Portrait from life	Mystère du camp 27 (Le)	FISHER Terence	NB	1948 / UK	 / Gainsborough (Antony Darnborough)	dr.	Guy Rolfe, Herbert Lom, Robert Beatty, Patrick Holt, Arnold Marlé, George Thorpe, Gerard Heinz, Philo Hauser, Eric Messiter, Cyril Chamberlain, Hugo Schuster, Gordon Bell, Sam Kydd, Eric Pohlmann, 	Mai Zetterling, Sybilla Binder, Thora Hird, Betty Lynne, Nellie Arno, 	"Bon+. Une époque et un drame rarement présentés aux cinéma, d'où un certain intérêt bien qu'on ne fasse qu'effleurer le sujet et sa douleur ; une construction assez solide, mais des acteurs anglais trop sobres et une réalisation plate annihilent quasiment la violence du sujet."	Frank Harvey Jr. + Muriel et Sydney Box	hist. de David Evans	Jack Asher	Benjamin Frankel	
Curse of Frankenstein (The)	Frankenstein s'est échappé	FISHER Terence	Coul.	1957 / UK	 / Hammer	hor.	Peter Cushing, Christopher Lee, Robert Urquhart, Noel Hood, Paul Hardmuth, Hugh Dempster, Melvyn Hayes, 	Hazel Court, Valerie Gaunt, 	Bon.	Jimmy Sangster	rom. de Mary Shelley	Jack Asher	James Bernard	
Dracula	Cauchemar de Dracula (Le)	FISHER Terence	Coul.	1958 / UK	 / Hammer	hor.	Peter Cushing, Christopher Lee, Michael Gough, John Van Eyssen, Miles Malleson, 	Melissa Stribling, Carol Marsh, Valerie Gaunt,	B+.	Jimmy Sangster	rom. de Bram Stocker	Jack Asher	James Bernard	
Hound of the Baskervilles (The)	Chien des Baskervilles (Le)	FISHER Terence	Coul.	1959 / UK	2 / Hammer (Anthony Hinds)	pol.	Peter Cushing, André Morell, Christopher Lee, Ewen Solon, Francis De Wolff,	Maria Landi	BonB.	Peter Bryan	rom. d'Arthur Conan Doyle	Jack Asher	James Bernard	
Mummy (The)	MALEDICTION DES PHARAONS (La)	FISHER Terence	Coul.	1959 / UK			Peter CUSHING, Christopher LEE,	Yvonne FURNEAUX,						
Sword of Sherwood forest		FISHER Terence	Coul. / scope / 80mn	1961 / UK	 / Hammer (Sidney Cole + Richard Greene + Michael Carreras)	av.	Richard Greene, Peter Cushing, Richard Pasco, Nigel Green, Niall McGinnis, Jack Gwillim, Edwin Richfield, Oliver Reed, Patrick Crean, Derren Nesbitt, Desmond Llewelyn, 	Sarah Branch, Vanda Godsell, 	Bon+. Rien de nouveau sous les ramures de la forêt de Sherwood : scenario faiblard et pas clair, scènes d'action assez pauvres et mal joués par les protagonistes (tous aussi pitoyables à l'épée !), personnages peu charismatiques... on est loin de la référence du genre par Curtiz ! On découvre pourtant au passage quelques éléments de décors ou d'atmosphère faiblement dignes des ambiances Fisheriennes de ses films d'horreur, et quelques paysages sont bien exploités, mais rien de plus.	Alan Hackney		Ken Hodges	Alun Hoddinot	
So long at the fair	Si Paris l'avait su	FISHER Terence + DARNBOROUGH Anthony	NB	1950 / UK	 / Gainsborough + Sidney Box	pol. 	Dirk Bogarde, David Tomlinson, Marcel Ponsin, Felix Aylmer, André Morell, Eugene Deckers, Austin Trevor, 	Jean Simmons, Honor Blackman, Catherine Nesbitt, Betty Warren, Zena Marshall, Natasha Sokolova, Nelly Arno, 	Bon+. Un petit sujet sur une situation étonnante qui permet de lancer honnêtement le spectateur sur des fausses pistes mystérieuses, et qui se regarde avec plaisir.	Hugh Mills + Anthony Thorne		Reginald Wyer	Benjamin Frankel	
As you desire me	Comme tu me veux	FITZMAURICE George	NB	1931 / USA	 / MGM 	com. dr.	Melvyn Douglas, Erich Von Stroheim, Owen Moore, Roland Varno, William Ricciardi, Albert Conti, Warburton Gamble, 	Greta Garbo, Hedda Hopper, Rafaela Ottiano, 	Bon.	Gene Markey	pièce de Luigi Pirandello	William Daniels	Herbert Stothart	
Strangers may kiss		FITZMAURICE George	NB	1931 / USA	 / MGM (George Fitzmauriece)	com. dr.	"Robert Montgomery, Neil Hamilton, Hale Hamilton, Jed Prouty, Albert Conti, Henry Armetta, George Davis, Robert Livingston, André Cheron, Wilbur Mack, Chris-Pin Martin, Ray Milland, Edward J. Nugent, Lee Phelps, Kane Richmond, Jack Trent
"	Norma Shearer, Marjorie Rambeau, Irene Rich, Conchita Montenegro, Bess Flowers, Sandra Morgan, Karen Morley, 	Bon. Un pensum insupportable autour d’une femme (Shearer, qui nous épuise avec son manièrisme théâtral déjà dépassé en 1930) qui succombe au charme d’un homme marié (Hamilton, terriblement daté et mauvais) en dédaignant celui qui l’aime (Montgomery, toujours en frac, comme durant toutes les années 30, et sirotant des cocktails !). Quel pavé ! Tout cela se passe au sein de l’idle bourgeoisie d’après Dépression et est assez pitoyable du fait des ridicules rebondissements sentimentaux que traversent les héros de l’affaire... m^me l’angle pré-coed Hays, assez osé et surprenant, ne crée pas le frisson espéré.	John Meehan	rom. d’Ursula Parrott	William Daniels	Herbert Stothart	
Petticoat fever	Femme qui tombe du ciel (Une)	FITZMAURICE George	NB	1936 / USA	 / MGM (Frank Davis)	com.	Robert Montgomlery, Reginald Owen, Otto Yamaoka, George Hassell, Forrester Harvey, Irving Bacon, 	Myrna Loy, Bo Ching, Iris Yamaoka, 	Bon+. Le générique semble annoncer une comédie légère et citadine, et on se retrouve sur une banquise de studio pour une comédie aux ressorts fatigués et mous. Conventionnel et creux, c'est une pièce de théâtre mal aérée qui provoque quelques sourires, et ne tient que par les acteurs.	Harold Goldman	pièce de Mark Reed	Ernest Haller	Dr. William Axt	
Raffles		FITZMAURICE George + D’ABBADIE D’ARRAST (Harry)	NB / 72mn	1930 / USA	 / Samuel Goldwyn Co.	com. pol.	Ronald Colman, Bramwell Fletcher, David Torrence, Fredeerick Kerr, John Rogers, Wilson Benge, Robert Adair, 	Kay Francis, Frances Dade, Alison Skipworth, Virginia Bruce,	"Bon+. De mémoire, c’est une comédie dramatique policière vieillotte, où le charme compassé de Colman fonctionne, mais reste plombé par K. Francis, toujours horripilante. On pense à Arsène Lupin, mais avec moins de liberté et plus embourgeoisé. Quelques drôleries cependant.
Remake en 1939 par Sam Wood, avec David Niven et Olivia de Havilland."	John Van Druten + Sidney Howard	pièce “Raffles, the amateur cracksman” de Eugene Wiley Presbrey et rom. “Raffles, the amateur cracksman” de E. W. Hornung	"George Barnes + Gregg Toland
Mont. : Stuart Heisler"	Hugo Riesenfeld	
Nanook of the north	Nanouk	FLAHERTY Robert	NB / muet	1922 / USA	 / Flaherty pour Revillon Frères	fct. doc.	Nanook, habitants de Fort Harrison, 	Nyla sa femme	B.TB.	Robert Flaherty		Robert Flaherty		
Sea (The)	Moana	FLAHERTY Robert	NB / muet	1926 / USA		fct. doc.	indigènes des îles Samoa		TB.	R. Flaherty		R. Flaherty		
Louisiana story	"Notre Louisiane ou ""Louisiana story"""	FLAHERTY Robert 	NB	1948 / USA	2 / Standard Oil Company (R. Flaherty)	av. com. dr.	Joseph Boudreau (the boy), Lionel Le Blanc (his father), E. Bienvenu (his mother), Frank Hardy (the oil well driller), C.P. Guedry (the boilerman)		"B+. Revu à moitié et admiré la photo et ses contrastes ; beau récit, peut-être un peu trop ""mis en scène""."	R. + Frances Flaherty		Richard Leacock	Virgil Thompson	
Whites shadows in the south seas	Ombres blanches	FLAHERTY Robert + Van DYKE II Woodbridge Strong	NB partiellement colorisé / muet sonorisé + musique	1928 / USA	 / MGM / Cosmopolitan (Irving Thalberg)	dr.	Monte Blue, 	Raquel Torres, 	B. Sous un récit primaire, un discours anti-colonialiste intéressant et lucide, surtout pour l'époque. Les images sont splendides, avec une réelle fluidité de la réalisation, mais la beauté est tempérée par la puissance de certaines situations, documentaires (les accidents de plongée) ou dramatique (idem, et la tempête). Robert FLAHERTY aurait commencé le tournage avant d'entrer en conflit avec Thalberg.	Ray Doyle + Jack Cunningham (+ Robert Flaherty)	livre de Frederick O'Brien	Clyde de Vinna + George Nogle + Bob Roberts (+ R. Flaherty)		
Banjo	Mon chien et moi	FLEISCHER Richard	NB / 68mn	1947 / USA	 / RKO (Lillie Hayward)	com. dr.	Walter Reed, Herbert Evans, Ernest Whitman, Lanny Rees, Theron Jackson, Howard McNeeley, Robert Bray, Lee Frederick, Harry Harvey, Kenneth MacDonald, Lester Matthews, George McDonald, Jason Robards Sr., Robert Winans, Banjo, 	Sharyn Moffett, Jacqueline White, Una O'Connor, Louise Beavers, Jean Moorhead, Elena Warren, 	Bon+. Une comédie familiale sur une petite fille et son chien, qui fait penser, sans les atteindre, à “The biscuit eater” de Stuart Heisler (1940) dont L. Hayward était co-scénariste (elle devait aimer les chiens !), “Good-bye my lady” de Wellman (1956), ou au ”Polyanna” de David Swift (1960). Ici la convention est bien trop visible et surtout prévisible : la tante jolie mais égoïste comprendra l’amour, le médecin est parfaitement dévoué, la bonne noire a un coeur d’or, les enfants noirs sont peureux, les policiers pas méchants... un rêve !!! Mais le charme de cette naïveté agit quand même, et Fleischer, ici en début de carrière, fourbit ses armes. Il retrouvera 5 ans plus tard J. White dans le rôle principal de ‘The narrow margin”, où les rapports humains sont déjà nettement plus corsés qu’ici !	Carl Foreman + Herbert Baker	Lillie Hayward	George E. Diskant	Alecander Laszlo	
